doc_id,datetime,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,commented_post,sponsored,target,condition,sequence
0,11.28.25 06:00,took a self-care pause with the @CommentsbyCelebs podcast... exactly the reset I needed to unwind ... ✨ 💆🏻‍♀️ #SpoilingMyself ,,,10,0,2,Alex Smith,AlexSmith88,Powered by caffeine. Commited to self-care and treating myself...🥂✨💆🏻‍♀️,https://images.unsplash.com/photo-1622842182823-28bfbfba47e3?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mzh8fHByb2ZpbGUlMjBwaG90b3xlbnwwfHwwfHx8MA%3D%3D,674,0,0,,A,1
1,11.25.25 06:00,polaroid photos > iphone photos ,,,4,2,1,Alex Smith,AlexSmith88,Powered by caffeine. Commited to self-care and treating myself...🥂✨💆🏻‍♀️,https://images.unsplash.com/photo-1622842182823-28bfbfba47e3?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mzh8fHByb2ZpbGUlMjBwaG90b3xlbnwwfHwwfHx8MA%3D%3D,674,0,0,,A,2
2,11.20.25 06:00,go leafs! 🔵⚪️🏒,,,5,2,3,Alex Smith,AlexSmith88,Powered by caffeine. Commited to self-care and treating myself...🥂✨💆🏻‍♀️,https://images.unsplash.com/photo-1622842182823-28bfbfba47e3?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mzh8fHByb2ZpbGUlMjBwaG90b3xlbnwwfHwwfHx8MA%3D%3D,674,0,0,,A,3
3,11.15.25 06:00,sometimes self-care means ordering the comfort food you've been craving. #TreatYourself #Indulge,https://i.pinimg.com/736x/5a/61/42/5a61421c9e9f5b9bcc46c24eb6aeb3b2.jpg,,7,2,1,Alex Smith,AlexSmith88,Powered by caffeine. Commited to self-care and treating myself...🥂✨💆🏻‍♀️,https://images.unsplash.com/photo-1622842182823-28bfbfba47e3?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mzh8fHByb2ZpbGUlMjBwaG90b3xlbnwwfHwwfHx8MA%3D%3D,674,0,0,,A,4
4,11.05.25 06:00,morning commute #TheCity ,https://media.istockphoto.com/id/137448695/photo/stream-of-cars-traveling-on-a-busy-highway-at-sunrise.jpg?s=612x612&w=0&k=20&c=ExrcpMQiCBU1oU30eqL3t8sg1wPufnnYC0cyWVCvJPI=,,4,0,1,Alex Smith,AlexSmith88,Powered by caffeine. Commited to self-care and treating myself...🥂✨💆🏻‍♀️,https://images.unsplash.com/photo-1622842182823-28bfbfba47e3?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mzh8fHByb2ZpbGUlMjBwaG90b3xlbnwwfHwwfHx8MA%3D%3D,674,0,0,,A,5
5,10.25.25 06:00,starting the day slowly and staying in bed a little longer... #SelfLove #LittleIndulgences #MindBodySoul,https://images.pexels.com/photos/20836361/pexels-photo-20836361/free-photo-of-woman-drinking-coffee-in-bed.jpeg,,8,1,1,Alex Smith,AlexSmith88,Powered by caffeine. Commited to self-care and treating myself...🥂✨💆🏻‍♀️,https://images.unsplash.com/photo-1622842182823-28bfbfba47e3?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mzh8fHByb2ZpbGUlMjBwaG90b3xlbnwwfHwwfHx8MA%3D%3D,674,0,0,,A,6
6,10.15.25 06:00,ending the day with a long bubble bath is exactly what I needed... #PamperAndUnwind ,https://i.pinimg.com/736x/f4/69/39/f4693945dd350f75442194af34f05d45.jpg,,10,2,2,Alex Smith,AlexSmith88,Powered by caffeine. Commited to self-care and treating myself...🥂✨💆🏻‍♀️,https://images.unsplash.com/photo-1622842182823-28bfbfba47e3?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mzh8fHByb2ZpbGUlMjBwaG90b3xlbnwwfHwwfHx8MA%3D%3D,674,0,0,,A,7
7,11.28.25 06:00,took a self-care pause with the @CommentsbyCelebs podcast... exactly the reset I needed to unwind ... ✨ 💆🏻‍♀️ #SpoilingMyself ,,,10,0,2,Alex Smith,AlexSmith88,Powered by caffeine. Commited to self-care and treating myself...🥂✨💆🏻‍♀️,https://images.unsplash.com/photo-1622842182823-28bfbfba47e3?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mzh8fHByb2ZpbGUlMjBwaG90b3xlbnwwfHwwfHx8MA%3D%3D,674,0,0,,B,1
8,11.25.25 06:00,polaroid photos > iphone photos ,,,4,2,1,Alex Smith,AlexSmith88,Powered by caffeine. Commited to self-care and treating myself...🥂✨💆🏻‍♀️,https://images.unsplash.com/photo-1622842182823-28bfbfba47e3?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mzh8fHByb2ZpbGUlMjBwaG90b3xlbnwwfHwwfHx8MA%3D%3D,674,0,0,,B,2
9,11.20.25 06:00,go leafs! 🔵⚪️🏒,,,5,2,3,Alex Smith,AlexSmith88,Powered by caffeine. Commited to self-care and treating myself...🥂✨💆🏻‍♀️,https://images.unsplash.com/photo-1622842182823-28bfbfba47e3?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mzh8fHByb2ZpbGUlMjBwaG90b3xlbnwwfHwwfHx8MA%3D%3D,674,0,0,,B,3
